date,day_of_week,student_id,department,semester,fingerprint_id,fingerprint_confidence,status,entry_time,exit_time,duration_hours,is_late,is_early_leave,pir_motion,ultrasonic_cm,accel_magnitude,activity_at_entry,zone
2026-01-01,Thursday,STU-001,CSE,1,1,280,present,08:16:00,15:55:00,7.65,0,0,1,26.6,0.54,walking,lab
2026-01-01,Thursday,STU-002,EEE,4,2,287,present,09:16:00,17:55:00,8.65,0,0,1,76.5,1.381,walking,classroom_B
2026-01-01,Thursday,STU-003,CSE,3,3,264,present,08:14:00,14:32:00,6.3,0,1,1,65.7,1.669,walking,classroom_B
2026-01-01,Thursday,STU-004,CSE,2,4,241,present,10:48:00,17:58:00,7.17,1,0,1,20.0,1.033,walking,entrance
2026-01-01,Thursday,STU-005,CSE,7,5,208,present,09:07:00,13:05:00,3.97,0,1,1,63.9,1.767,walking,classroom_A
2026-01-01,Thursday,STU-006,CSE,1,6,296,present,09:16:00,16:13:00,6.95,0,0,1,75.7,1.395,walking,classroom_A
2026-01-01,Thursday,STU-007,CSE,4,7,208,present,09:14:00,16:07:00,6.88,0,0,1,34.9,0.807,walking,classroom_A
2026-01-01,Thursday,STU-008,CSE,1,8,265,present,08:07:00,13:55:00,5.8,0,1,1,39.8,0.657,walking,lab
2026-01-01,Thursday,STU-009,CSE,4,9,284,present,09:07:00,16:12:00,7.08,0,0,1,25.7,0.947,walking,lab
2026-01-01,Thursday,STU-010,CSE,7,10,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-011,CSE,8,11,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-012,CSE,5,12,223,present,08:07:00,17:28:00,9.35,0,0,1,28.4,0.718,walking,classroom_A
2026-01-01,Thursday,STU-013,CSE,3,13,211,present,08:01:00,17:53:00,9.87,0,0,1,20.9,1.69,walking,classroom_A
2026-01-01,Thursday,STU-014,BBA,6,14,233,present,09:28:00,14:00:00,4.53,0,1,1,79.1,1.69,walking,lab
2026-01-01,Thursday,STU-015,EEE,3,15,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-016,CSE,6,16,269,present,09:04:00,15:03:00,5.98,0,0,1,54.8,0.391,standing,classroom_B
2026-01-01,Thursday,STU-017,CSE,2,17,276,present,08:01:00,15:54:00,7.88,0,0,1,31.1,0.402,standing,classroom_A
2026-01-01,Thursday,STU-018,BBA,2,18,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-019,EEE,6,19,233,present,09:26:00,17:33:00,8.12,1,0,1,39.0,0.606,walking,classroom_B
2026-01-01,Thursday,STU-020,CSE,5,20,272,present,09:14:00,15:00:00,5.77,0,0,1,47.5,1.794,walking,entrance
2026-01-01,Thursday,STU-021,CSE,8,21,256,present,10:56:00,13:23:00,2.45,1,1,1,37.1,1.551,walking,classroom_B
2026-01-01,Thursday,STU-022,CSE,2,22,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-023,BBA,2,23,213,present,09:29:00,15:16:00,5.78,0,0,1,26.9,1.414,walking,classroom_A
2026-01-01,Thursday,STU-024,CSE,5,24,206,present,08:21:00,16:32:00,8.18,0,0,1,49.3,0.438,standing,lab
2026-01-01,Thursday,STU-025,CSE,6,25,290,present,08:20:00,15:47:00,7.45,0,0,1,46.5,0.942,walking,entrance
2026-01-01,Thursday,STU-026,CSE,4,26,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-027,CSE,1,27,246,present,10:37:00,16:08:00,5.52,1,0,1,22.5,1.648,walking,entrance
2026-01-01,Thursday,STU-028,CSE,5,28,230,present,08:11:00,16:39:00,8.47,0,0,1,65.0,1.597,walking,classroom_A
2026-01-01,Thursday,STU-029,CSE,4,29,231,present,09:25:00,17:55:00,8.5,0,0,1,64.1,0.7,walking,entrance
2026-01-01,Thursday,STU-030,CSE,7,30,229,present,08:26:00,16:19:00,7.88,0,0,1,69.2,0.634,walking,classroom_A
2026-01-01,Thursday,STU-031,EEE,8,31,268,present,10:22:00,16:43:00,6.35,1,0,1,78.9,0.797,walking,entrance
2026-01-01,Thursday,STU-032,EEE,3,32,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-033,EEE,6,33,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-034,CSE,5,34,273,present,09:13:00,17:07:00,7.9,0,0,1,43.1,0.585,walking,entrance
2026-01-01,Thursday,STU-035,CSE,3,35,240,present,08:11:00,17:58:00,9.78,0,0,1,39.8,1.295,walking,entrance
2026-01-01,Thursday,STU-036,CSE,4,36,253,present,09:10:00,16:35:00,7.42,0,0,1,27.6,1.297,walking,lab
2026-01-01,Thursday,STU-037,CSE,8,37,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-038,BBA,5,38,283,present,08:09:00,16:50:00,8.68,0,0,1,54.8,0.783,walking,lab
2026-01-01,Thursday,STU-039,CSE,4,39,296,present,08:21:00,14:05:00,5.73,0,1,1,69.1,0.652,walking,classroom_B
2026-01-01,Thursday,STU-040,EEE,1,40,280,present,09:30:00,15:29:00,5.98,1,0,1,44.9,1.164,walking,lab
2026-01-01,Thursday,STU-041,CSE,1,41,222,present,08:28:00,15:49:00,7.35,0,0,1,45.5,1.506,walking,lab
2026-01-01,Thursday,STU-042,EEE,7,42,276,present,09:04:00,17:33:00,8.48,0,0,1,79.3,0.776,walking,lab
2026-01-01,Thursday,STU-043,EEE,2,43,231,present,09:28:00,16:28:00,7.0,0,0,1,35.6,1.56,walking,classroom_B
2026-01-01,Thursday,STU-044,CSE,6,44,240,present,09:14:00,14:15:00,5.02,0,1,1,36.3,1.64,walking,entrance
2026-01-01,Thursday,STU-045,CSE,8,45,207,present,08:02:00,16:34:00,8.53,0,0,1,48.0,0.61,walking,lab
2026-01-01,Thursday,STU-046,BBA,8,46,0,absent,,,0.0,0,0,0,0.0,0.0,,
2026-01-01,Thursday,STU-047,CSE,5,47,253,present,09:15:00,14:19:00,5.07,0,1,1,65.2,1.107,walking,classroom_A
2026-01-01,Thursday,STU-048,CSE,4,48,259,present,09:10:00,16:46:00,7.6,0,0,1,29.9,1.679,walking,entrance
